iter	Passed	Remaining
0	1	134
1	2	140
2	4	133
3	5	121
4	5	111
5	6	107
6	7	104
7	8	101
8	9	99
9	11	101
10	12	97
11	12	94
12	13	93
13	14	90
14	15	89
15	16	89
16	17	87
17	18	86
18	19	84
19	20	82
20	21	81
21	22	80
22	23	78
23	24	77
24	26	80
25	27	78
26	28	77
27	29	76
28	30	75
29	32	74
30	32	73
31	33	72
32	34	70
33	35	68
34	36	67
35	37	66
36	38	65
37	39	63
38	40	64
39	41	62
40	42	61
41	43	59
42	43	58
43	44	57
44	45	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	86	20
81	88	19
82	88	18
83	89	17
84	90	16
85	92	14
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	105	3
97	106	2
98	106	1
99	107	0
